lon: -156, lat: -50, elevation: 0.0
lon: -156, lat: -46, elevation: 0.0
lon: -156, lat: -42, elevation: 0.0
lon: -156, lat: -38, elevation: 0.0
lon: -156, lat: -34, elevation: 0.0
lon: -156, lat: -30, elevation: 0.0
lon: -156, lat: -26, elevation: 0.0
lon: -156, lat: -22, elevation: 0.0
lon: -156, lat: -18, elevation: 0.0
lon: -156, lat: -14, elevation: 0.0
lon: -156, lat: -10, elevation: 0.0
lon: -156, lat: -6, elevation: 0.0
lon: -156, lat: -2, elevation: 0.0
lon: -156, lat: 2, elevation: 0.0
lon: -156, lat: 6, elevation: 0.0
lon: -156, lat: 10, elevation: 0.0
lon: -156, lat: 14, elevation: 0.0
lon: -156, lat: 18, elevation: 0.0
lon: -156, lat: 22, elevation: 0.0
lon: -156, lat: 26, elevation: 0.0
lon: -156, lat: 30, elevation: 0.0
lon: -156, lat: 34, elevation: 0.0
lon: -156, lat: 38, elevation: 0.0
lon: -156, lat: 42, elevation: 0.0
lon: -156, lat: 46, elevation: -1
lon: -156, lat: 50, elevation: 0.0
lon: -156, lat: 54, elevation: 0.0
lon: -156, lat: 58, elevation: 361.0
lon: -156, lat: 62, elevation: 0.0
lon: -156, lat: 66, elevation: 0.0
lon: -156, lat: 70, elevation: 0.0
lon: -156, lat: 74, elevation: 0.0
lon: -156, lat: 78, elevation: 0.0
lon: -156, lat: 82, elevation: 0.0
lon: -156, lat: 86, elevation: 0.0
lon: -156, lat: 90, elevation: 0.0
lon: -152, lat: -90, elevation: 0.0
lon: -152, lat: -86, elevation: 0.0
lon: -152, lat: -82, elevation: 0.0
lon: -152, lat: -78, elevation: 0.0
lon: -152, lat: -74, elevation: 0.0
lon: -152, lat: -70, elevation: 0.0
lon: -152, lat: -66, elevation: 0.0
lon: -152, lat: -62, elevation: 0.0
lon: -152, lat: -58, elevation: 0.0
lon: -152, lat: -54, elevation: 0.0
lon: -152, lat: -50, elevation: 0.0
lon: -152, lat: -46, elevation: 0.0
lon: -152, lat: -42, elevation: 0.0
lon: -152, lat: -38, elevation: 0.0
lon: -152, lat: -34, elevation: 0.0
lon: -152, lat: -30, elevation: 0.0
lon: -152, lat: -26, elevation: 0.0
lon: -152, lat: -22, elevation: 0.0
lon: -152, lat: -18, elevation: 0.0
lon: -152, lat: -14, elevation: 0.0
lon: -152, lat: -10, elevation: 0.0
lon: -152, lat: -6, elevation: 0.0
lon: -152, lat: -2, elevation: 0.0
lon: -152, lat: 2, elevation: 0.0
lon: -152, lat: 6, elevation: 0.0
lon: -152, lat: 10, elevation: 0.0
lon: -152, lat: 14, elevation: 0.0
lon: -152, lat: 18, elevation: 0.0
lon: -152, lat: 22, elevation: 0.0
lon: -152, lat: 26, elevation: 0.0
lon: -152, lat: 30, elevation: 0.0
lon: -152, lat: 34, elevation: 0.0
lon: -152, lat: 38, elevation: 0.0
lon: -152, lat: 42, elevation: 0.0
lon: -152, lat: 46, elevation: 0.0
lon: -152, lat: 50, elevation: 0.0
lon: -152, lat: 54, elevation: 0.0
lon: -152, lat: 58, elevation: 0.0
lon: -152, lat: 62, elevation: 0.0
lon: -152, lat: 66, elevation: 0.0
lon: -152, lat: 70, elevation: 0.0
lon: -152, lat: 74, elevation: 0.0
lon: -152, lat: 78, elevation: 0.0
lon: -152, lat: 82, elevation: 0.0
lon: -152, lat: 86, elevation: 0.0
lon: -152, lat: 90, elevation: 0.0
lon: -148, lat: -90, elevation: 0.0
lon: -148, lat: -86, elevation: 0.0
lon: -148, lat: -82, elevation: 0.0
lon: -148, lat: -78, elevation: 0.0
lon: -148, lat: -74, elevation: 0.0
lon: -148, lat: -70, elevation: 0.0
lon: -148, lat: -66, elevation: 0.0
lon: -148, lat: -62, elevation: 0.0
lon: -148, lat: -58, elevation: 0.0
lon: -148, lat: -54, elevation: 0.0
lon: -148, lat: -50, elevation: 0.0
lon: -148, lat: -46, elevation: 0.0
lon: -148, lat: -42, elevation: 0.0
lon: -148, lat: -38, elevation: 0.0
lon: -148, lat: -34, elevation: 0.0
lon: -148, lat: -30, elevation: 0.0
lon: -148, lat: -26, elevation: 0.0
lon: -148, lat: -22, elevation: 0.0
lon: -148, lat: -18, elevation: 0.0
lon: -148, lat: -14, elevation: 0.0
lon: -148, lat: -10, elevation: 0.0
lon: -148, lat: -6, elevation: 0.0
lon: -148, lat: -2, elevation: 0.0
lon: -148, lat: 2, elevation: 0.0
lon: -148, lat: 6, elevation: 0.0
lon: -148, lat: 10, elevation: 0.0
lon: -148, lat: 14, elevation: 0.0
lon: -148, lat: 18, elevation: 0.0
lon: -148, lat: 22, elevation: 0.0
lon: -148, lat: 26, elevation: 0.0
lon: -148, lat: 30, elevation: 0.0
lon: -148, lat: 34, elevation: 0.0
lon: -148, lat: 38, elevation: 0.0
lon: -148, lat: 42, elevation: 0.0
lon: -148, lat: 46, elevation: 0.0
lon: -148, lat: 50, elevation: 0.0
lon: -148, lat: 54, elevation: 0.0
lon: -148, lat: 58, elevation: 0.0
lon: -148, lat: 62, elevation: 0.0
lon: -148, lat: 66, elevation: 0.0
lon: -148, lat: 70, elevation: 0.0
lon: -148, lat: 74, elevation: 0.0
lon: -148, lat: 78, elevation: 0.0
lon: -148, lat: 82, elevation: 0.0
lon: -148, lat: 86, elevation: 0.0
lon: -148, lat: 90, elevation: 0.0
lon: -144, lat: -90, elevation: 0.0
lon: -144, lat: -86, elevation: 0.0
lon: -144, lat: -82, elevation: 0.0
